,spread,Mspread
2021-11-10 10:25:00,3942.1281468026464,-115.23017626607725
2021-11-10 10:30:00,3944.4020143585863,-112.95630871013736
2021-11-10 10:35:00,3929.350109332746,-128.00821373597773
2021-11-10 10:40:00,3929.5125647189084,-127.84575834981524
2021-11-10 10:45:00,3923.561090955897,-133.7972321128268
2021-11-10 10:50:00,3920.041225219007,-137.31709784971645
2021-11-10 10:55:00,3918.468657136007,-138.88966593271653
2021-11-10 11:00:00,3917.4536844918175,-139.9046385769061
2021-11-10 11:05:00,3911.7397194261343,-145.61860364258928
2021-11-10 11:10:00,3914.6320501246923,-142.72627294403128
2021-11-10 11:15:00,3912.235629063662,-145.12269400506148
2021-11-10 11:20:00,3926.4216267858305,-130.93669628289308
2021-11-10 11:25:00,3938.0476360655975,-119.31068700312608
2021-11-10 11:30:00,3941.225339782413,-116.13298328631072
2021-11-10 13:05:00,3941.1199570341105,-116.23836603461314
2021-11-10 13:10:00,3945.4312734229516,-111.92704964577206
2021-11-10 13:15:00,3940.7565970147575,-116.6017260539661
2021-11-10 13:20:00,3943.2197201815834,-114.13860288714022
2021-11-10 13:25:00,3947.164713349693,-110.19360971903052
2021-11-10 13:30:00,3950.71119153347,-106.64713153525372
2021-11-10 13:35:00,3956.7808658072345,-100.57745726148914
2021-11-10 13:40:00,3959.4583400891884,-97.89998297953525
2021-11-10 13:45:00,3962.662056466117,-94.69626660260656
2021-11-10 13:50:00,3962.1443147775663,-95.21400829115737
2021-11-10 13:55:00,3956.045016900471,-101.31330616825244
2021-11-10 14:00:00,3948.1254052879076,-109.23291778081602
2021-11-10 14:05:00,3954.2181852806834,-103.14013778804019
2021-11-10 14:10:00,3955.941405348069,-101.41691772065451
2021-11-10 14:15:00,3960.7626948123348,-96.59562825638886
2021-11-10 14:20:00,3963.0966339957963,-94.26168907292731
2021-11-10 14:25:00,3957.388361732732,-99.96996133599168
2021-11-10 14:30:00,3961.4000262980276,-95.95829677069605
2021-11-10 14:35:00,3966.090739978531,-91.2675830901926
2021-11-10 14:40:00,3977.7361385231106,-79.62218454561298
2021-11-10 14:45:00,3973.689692266312,-83.66863080241183
2021-11-10 14:50:00,3978.1597711313466,-79.19855193737703
2021-11-10 14:55:00,3973.9547158380883,-83.40360723063532
2021-11-10 15:00:00,3973.693730611056,-83.66459245766782
2021-11-11 09:35:00,3988.2975598910184,-69.06076317770521
2021-11-11 09:40:00,4001.851807679318,-55.50651538940565
2021-11-11 09:45:00,4000.875465260487,-56.48285780823653
2021-11-11 09:50:00,3998.0480972015816,-59.31022586714198
2021-11-11 09:55:00,3995.273250973804,-62.085072094919724
2021-11-11 10:00:00,4002.931158243259,-54.42716482546484
2021-11-11 10:05:00,4009.7191041452907,-47.63921892343296
2021-11-11 10:10:00,4007.787624410655,-49.57069865806852
2021-11-11 10:15:00,4013.910833173727,-43.44748989499658
2021-11-11 10:20:00,4006.0732511242068,-51.28507194451686
2021-11-11 10:25:00,4021.8746756111696,-35.48364745755407
2021-11-11 10:30:00,4016.93810578639,-40.4202172823334
2021-11-11 10:35:00,4018.902948916587,-38.455374152136756
2021-11-11 10:40:00,4016.750880875508,-40.607442193215775
2021-11-11 10:45:00,4019.268683397706,-38.08963967101772
2021-11-11 10:50:00,4021.049267053778,-36.30905601494578
2021-11-11 10:55:00,4026.6014551064777,-30.756867962245906
2021-11-11 11:00:00,4025.3699037484575,-31.988419320266075
2021-11-11 11:05:00,4024.9574738113474,-32.400849257376194
2021-11-11 11:10:00,4033.8199075283546,-23.538415540368987
2021-11-11 11:15:00,4034.0128933861483,-23.345429682575286
2021-11-11 11:20:00,4031.736612710254,-25.6217103584695
2021-11-11 11:25:00,4031.0915003673827,-26.26682270134097
2021-11-11 11:30:00,4032.162392936672,-25.19593013205167
2021-11-11 13:05:00,4044.4394114208717,-12.918911647851928
2021-11-11 13:10:00,4047.924313655908,-9.434009412815612
2021-11-11 13:15:00,4052.2196843617853,-5.138638706938309
2021-11-11 13:20:00,4059.964056099578,2.6057330308544806
2021-11-11 13:25:00,4067.644858907076,10.286535838352393
2021-11-11 13:30:00,4071.056763246462,13.698440177738576
2021-11-11 13:35:00,4063.6619850125758,6.303661943852148
2021-11-11 13:40:00,4072.8054250897203,15.447102020996681
2021-11-11 13:45:00,4074.9045514956942,17.54622842697063
2021-11-11 13:50:00,4068.649583094321,11.29126002559724
2021-11-11 13:55:00,4070.112240660214,12.753917591490335
2021-11-11 14:00:00,4073.2542118780048,15.895888809281132
2021-11-11 14:05:00,4066.753463172943,9.395140104219536
2021-11-11 14:10:00,4068.1076445672334,10.749321498509744
2021-11-11 14:15:00,4080.431187512423,23.072864443699473
2021-11-11 14:20:00,4087.5188100262117,30.160486957488047
2021-11-11 14:25:00,4082.4975187343925,25.13919566566892
2021-11-11 14:30:00,4086.7988629102792,29.44053984155562
2021-11-11 14:35:00,4090.6870291304485,33.328706061724915
2021-11-11 14:40:00,4088.7422041089076,31.38388104018395
2021-11-11 14:45:00,4091.927541060253,34.56921799152951
2021-11-11 14:50:00,4085.0095079104376,27.651184841713984
2021-11-11 14:55:00,4086.4465118423404,29.08818877361682
2021-11-11 15:00:00,4089.4335103386716,32.075187269947946
2021-11-12 09:35:00,4088.2399488728615,30.88162580413791
2021-11-12 09:40:00,4080.174578647242,22.816255578518394
2021-11-12 09:45:00,4074.7285967213506,17.37027365262702
2021-11-12 09:50:00,4070.837640932901,13.479317864177574
2021-11-12 09:55:00,4079.7714945932485,22.41317152452484
2021-11-12 10:00:00,4082.0321716749268,24.673848606203137
2021-11-12 10:05:00,4074.0282316289954,16.66990856027178
2021-11-12 10:10:00,4069.073882165406,11.715559096682227
2021-11-12 10:15:00,4068.876910846936,11.51858777821235
2021-11-12 10:20:00,4069.197266694072,11.838943625348293
2021-11-12 10:25:00,4068.299551496928,10.94122842820434
2021-11-12 10:30:00,4061.84519011984,4.4868670511164055
2021-11-12 10:35:00,4063.893732127494,6.535409058770256
2021-11-12 10:40:00,4062.033187738796,4.674864670072566
2021-11-12 10:45:00,4056.4510558437587,-0.9072672249649258
2021-11-12 10:50:00,4060.7090028137563,3.3506797450327213
2021-11-12 10:55:00,4057.06896845004,-0.2893546186837739
2021-11-12 11:00:00,4058.9203723399505,1.562049271226897
2021-11-12 11:05:00,4049.365224895251,-7.993098173472845
2021-11-12 11:10:00,4057.5841187646474,0.22579569592380722
2021-11-12 11:15:00,4055.665984471457,-1.6923385972668257
2021-11-12 11:20:00,4057.513427435617,0.15510436689328344
2021-11-12 11:25:00,4058.4710474610097,1.1127243922860544
2021-11-12 11:30:00,4060.4102338596376,3.0519107909140075
2021-11-12 13:05:00,4051.889511114067,-5.468811954656758
2021-11-12 13:10:00,4050.458509657588,-6.89981341113571
2021-11-12 13:15:00,4048.5638255530994,-8.794497515624244
2021-11-12 13:20:00,4055.9643176454383,-1.3940054232853072
2021-11-12 13:25:00,4062.926744202203,5.568421133479205
2021-11-12 13:30:00,4059.1858985965814,1.827575527857789
2021-11-12 13:35:00,4061.4144358551175,4.056112786393896
